ที่,ชื่อโรงเรียน,สังกัด,ปีที่เข้าร่วม,รุ่นที่
1,ชุมชนบ้านบวกครกน้อย,สพป.เชียงใหม่ เขต 1,2562,1
2,เทพเสด็จวิทยา,สพป.เชียงใหม่ เขต 1,2562,1
3,บ้านตลาดขี้เหล็ก,สพป.เชียงใหม่ เขต 1,2562,1
4,บ้านโป่งน้อย,สพป.เชียงใหม่ เขต 1,2562,1
5,หมู่บ้านสหกรณ์ 2,สพป.เชียงใหม่ เขต 1,2562,1
6,คำเที่ยงอนุสสรณ์,สพป.เชียงใหม่ เขต 1,2563,2
7,แม่คือวิทยา,สพป.เชียงใหม่ เขต 1,2563,2
8,แม่โป่งประชาสามัคคี,สพป.เชียงใหม่ เขต 1,2563,2
9,วัดข่วงสิงห์,สพป.เชียงใหม่ เขต 1,2563,2
10,ศรีเนห์รู,สพป.เชียงใหม่ เขต 1,2563,2
11,อนุบาลเชียงใหม่,สพป.เชียงใหม่ เขต 1,2563,2
12,ทาเหนือวิทยา,สพป.เชียงใหม่ เขต 1,2566(2),3
13,บ้านเชิงดอยสุเทพ,สพป.เชียงใหม่ เขต 1,2566(2),3
14,บ้านบวกค้าง,สพป.เชียงใหม่ เขต 1,2566(2),3
15,บ้านป่าเสร้า,สพป.เชียงใหม่ เขต 1,2566(2),3
16,บ้านป่าเหมือด,สพป.เชียงใหม่ เขต 1,2566(2),3
17,บ้านแม่หวาน,สพป.เชียงใหม่ เขต 1,2566(2),3
18,บ้านแม่ฮ้อยเงิน,สพป.เชียงใหม่ เขต 1,2566(2),3
19,บ้านออนกลาง,สพป.เชียงใหม่ เขต 1,2566(2),3
20,วัดเจ็ดยอด,สพป.เชียงใหม่ เขต 1,2566(2),3
21,วัดเปาสามขา,สพป.เชียงใหม่ เขต 1,2566(2),3
22,วัดร้องวัวแดงศรีจันทร์วิทยาคาร,สพป.เชียงใหม่ เขต 1,2566(2),3
23,สันกำแพงคันธาอนุสรณ์,สพป.เชียงใหม่ เขต 1,2566(2),3
24,พุทธิโศภน ,สพป.เชียงใหม่ เขต 1,2567(1),3
25,บ้านเมืองกื้ด,สพป.เชียงใหม่ เขต 2,2562,1
26,บ้านหนองไคร้,สพป.เชียงใหม่ เขต 2,2562,1
27,บ้านหนองปลามัน,สพป.เชียงใหม่ เขต 2,2562,1
28,พร้าวบูรพา,สพป.เชียงใหม่ เขต 2,2562,1
29,วัดแม่แก้ดน้อย,สพป.เชียงใหม่ เขต 2,2562,1
30,ชุมชนวัดช่อแล,สพป.เชียงใหม่ เขต 2,2563,2
31,บ้านต้นรุง,สพป.เชียงใหม่ เขต 2,2563,2
32,บ้านนาบุญโหล่งขอด,สพป.เชียงใหม่ เขต 2,2563,2
33,บ้านบ่อแก้ว,สพป.เชียงใหม่ เขต 2,2563,2
34,บ้านป่าตุ้ม,สพป.เชียงใหม่ เขต 2,2563,2
35,บ้านพระนอน,สพป.เชียงใหม่ เขต 2,2563,2
36,บ้านแม่โจ้,สพป.เชียงใหม่ เขต 2,2563,2
37,บ้านสะลวงนอก,สพป.เชียงใหม่ เขต 2,2563,2
38,วัดโป่งแยงเฉลิมพระเกียรติ,สพป.เชียงใหม่ เขต 2,2563,2
39,บ้านปางไม้แดง,สพป.เชียงใหม่ เขต 2,2566(2),3
40,บ้านปางห้วยตาด ,สพป.เชียงใหม่ เขต 2,2566(2),3
41,บ้านแม่ตะมาน,สพป.เชียงใหม่ เขต 2,2566(2),3
42,ป่าจี้วังแดงวิทยา,สพป.เชียงใหม่ เขต 2,2566(2),3
43,บ้านหัวฝาย (อำเภอสันทราย),สพป.เชียงใหม่ เขต 2,2567(1),3
